"","decile","pop","n_grid","dec_pop","tot_pop","rel_pop","rel_n","rel_n_round"
"10%",0.1,33,43,867,133843,0.00647773884327159,0.194332165298148,0
"20%",0.2,62,42,1898,133843,0.0141807939152589,0.425423817457768,0
"30%",0.3,104,42,3268,133843,0.0244166672892867,0.732500018678601,1
"40%",0.4,165,42,5651,133843,0.0422211098077598,1.2666332942328,1
"50%",0.5,240,44,8943,133843,0.0668170916671025,2.00451275001308,2
"60%",0.6,338,42,12181,133843,0.0910096157438192,2.73028847231458,3
"70%",0.7,450,42,16360,133843,0.122232765254813,3.6669829576444,4
"80%",0.8,563,41,20715,133843,0.154770888279551,4.64312664838654,5
"90%",0.9,719,45,28379,133843,0.212032007650755,6.36096022952265,6
"100%",1,1147,42,35582,133843,0.2658487929888,7.97546378966401,8
